hostNC,hostphylum,hostclass,hostorder,hostfamily,hostgenus
NC_007795.1,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
NC_008261.1,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
NC_008262.1,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
NC_008528.1,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus
NC_008529.1,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
NC_008533.2,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
NC_008542.1,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
NC_008817.1,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Prochlorococcus
NC_008820.1,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Prochlorococcus
NC_009457.1,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
NC_009481.1,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus
NC_009725.2,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
NC_009848.4,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
NC_010002.1,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia
NC_010554.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus
NC_010572.1,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
NC_010602.1,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira
NC_010694.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
NC_010717.2,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
NC_011071.1,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
NC_011080.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
NC_011294.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
NC_011565.1,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidales,Candidatus Azobacteroides
NC_011896.1,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
NC_011916.1,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
NC_012660.1,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
NC_012926.1,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
NC_012971.2,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
NC_013416.2,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter
NC_013441.1,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia
NC_013456.1,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
NC_013501.1,Rhodothermota,Rhodothermia,Rhodothermales,Rhodothermaceae,Rhodothermus
NC_013929.1,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
NC_013961.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
NC_014032.1,Rhodothermota,Rhodothermia,Rhodothermales,Salinibacteraceae,Salinibacter
NC_014158.1,Actinomycetota,Actinomycetes,Mycobacteriales,Tsukamurellaceae,Tsukamurella
NC_017168.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia
NC_017196.2,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
NC_017287.1,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
